package_id,dependencies
1,coreutils:kmod:initramfs
2,linux-firmware-whence
3,None
4,None
5,filesystem:gcc-libs:glibc:bash:coreutils:file:findutils:gawk:grep:procps-ng:sed:tar:gettext:pciutils:psmisc:shadow:util-linux:bzip2:gzip:xz:licenses:pacman:archlinux-keyring:systemd:systemd-sysvcompat:iputils:iproute2
6,libical:dbus:glib2:alsa-lib:json-c
7,dbus:systemd:glib2
8,bash:gdbm:zlib:groff:libpipeline:less:libseccomp
9,None
10,glibc:zlib:gnutls:libidn2:libidn2.so=0-64:util-linux-libs:libuuid.so=1-64:libpsl:libpsl.so=5-64:pcre2:nettle:libnettle.so=8-64
11,vim-runtime=9.0.1046-1:gpm:acl:glibc:libgcrypt:zlib:perl
12,curl:expat:perl:perl-error:perl-mailtools:openssl:pcre2:grep:shadow:zlib
13,pcre:libcap:gdbm
14,libcap:libcap.so=2-64:libnl:ncurses:libncursesw.so=6-64
15,imlib2:libxext:libxfixes:libxcomposite:libbsd
16,libgit2:oniguruma
17,desktop-file-utils:libexif:hicolor-icon-theme:libnotify:pcre2:libgudev:exo:libxfce4util:libxfce4ui:libpng
18,glibc:krb5:libkrb5.so=3-64:libgssapi_krb5.so=2-64:ldns:libedit:libxcrypt:libcrypt.so=2-64:openssl:pam:libpam.so=0-64:zlib
19,libxext:python-attrs:python-docopt:python-pillow:python-xlib
20,hicolor-icon-theme:libconfig:libdbus:libev:libgl:pcre:pixman:xcb-util-image:xcb-util-renderutil
21,libxinerama:dbus:systemd:wayland:libxss:pango:gdk-pixbuf2:libxrandr:glib2
22,libepoxy:libxfont2:pixman:xorg-server-common:libunwind:dbus:libgl:xf86-input-libinput:nettle:libpciaccess:libdrm:libxshmfence:libxcvt
23,libxcb
24,libx11:xorg-xauth:xorg-xrdb:xorg-xmodmap
25,libx11
26,libx11:libxi>=1.5.99.2:xorg-xrandr:libxinerama
27,pixman:libpng:libxpm:xcb-util:xcb-util-image:libjpeg-turbo:libseccomp:libseccomp.so=2-64:libpixman-1.so=0-64:libjpeg.so=8-64
28,libxrandr:libx11
